0,0,0,0,1,2022-6-2,5
1,1,0,0,1,2022-6-14,3
2,2,0,0,1,2022-6-14,3
3,3,0,0,1,2022-6-13,5
4,4,0,0,1,2022-6-13,5
5,5,0,0,1,2022-6-9,3
6,6,0,0,1,2022-6-6,5
7,7,0,0,1,2022-6-13,3
8,8,0,0,1,2022-6-14,5
9,9,0,0,1,2022-6-8,4
10,10,0,0,1,2022-6-8,2
11,10,0,0,2,2022-6-23,2
12,10,0,0,3,2022-9-6,4
13,11,0,0,1,2022-6-6,3
14,12,0,0,1,2022-6-8,4
15,13,0,0,1,2022-6-8,2
16,13,0,0,2,2022-6-27,2
17,13,0,0,3,2022-9-2,3
18,14,0,0,1,2022-6-10,4
19,15,0,0,1,2022-6-9,2
20,15,0,0,2,2022-6-20,2
21,15,0,0,3,2022-9-8,5
22,16,0,0,1,2022-6-2,2
23,16,0,0,2,2022-6-27,4
24,17,0,0,1,2022-6-14,4
25,18,0,0,1,2022-6-7,3
26,19,0,0,1,2022-6-13,4
27,20,0,0,1,2022-6-7,3
28,21,0,0,1,2022-6-7,5
29,22,0,0,1,2022-6-8,4
30,23,0,0,1,2022-6-14,5
31,24,0,0,1,2022-6-10,5
32,25,0,0,1,2022-6-14,3
33,26,0,0,1,2022-6-9,5
34,27,0,0,1,2022-6-1,5
35,28,0,0,1,2022-6-10,4
36,29,0,0,1,2022-6-8,4
37,0,1,0,1,2022-6-2,4
38,1,1,0,1,2022-6-14,3
39,2,1,0,1,2022-6-14,3
40,3,1,0,1,2022-6-13,2
41,3,1,0,2,2022-6-21,3
42,4,1,0,1,2022-6-13,3
43,5,1,0,1,2022-6-9,4
44,6,1,0,1,2022-6-6,4
45,7,1,0,1,2022-6-13,3
46,8,1,0,1,2022-6-14,4
47,9,1,0,1,2022-6-8,4
48,10,1,0,1,2022-6-8,4
49,11,1,0,1,2022-6-6,2
50,11,1,0,2,2022-6-15,3
51,12,1,0,1,2022-6-8,2
52,12,1,0,2,2022-6-20,5
53,13,1,0,1,2022-6-8,4
54,14,1,0,1,2022-6-10,5
55,15,1,0,1,2022-6-9,4
56,16,1,0,1,2022-6-2,2
57,16,1,0,2,2022-6-27,4
58,17,1,0,1,2022-6-14,3
59,18,1,0,1,2022-6-7,2
60,18,1,0,2,2022-6-27,3
61,19,1,0,1,2022-6-13,3
62,20,1,0,1,2022-6-7,4
63,21,1,0,1,2022-6-7,4
64,22,1,0,1,2022-6-8,3
65,23,1,0,1,2022-6-14,2
66,23,1,0,2,2022-6-23,3
67,24,1,0,1,2022-6-10,2
68,24,1,0,2,2022-6-29,2
69,24,1,0,3,2022-9-1,5
70,25,1,0,1,2022-6-14,2
71,25,1,0,2,2022-6-24,3
72,26,1,0,1,2022-6-9,4
73,27,1,0,1,2022-6-1,3
74,28,1,0,1,2022-6-10,5
75,29,1,0,1,2022-6-8,3
76,0,2,0,1,2022-6-2,2
77,0,2,0,2,2022-6-22,3
78,1,2,0,1,2022-6-14,3
79,2,2,0,1,2022-6-14,5
80,3,2,0,1,2022-6-13,4
81,4,2,0,1,2022-6-13,2
82,4,2,0,2,2022-6-20,3
83,5,2,0,1,2022-6-9,4
84,6,2,0,1,2022-6-6,3
85,7,2,0,1,2022-6-13,3
86,8,2,0,1,2022-6-14,2
87,8,2,0,2,2022-6-22,3
88,9,2,0,1,2022-6-8,4
89,10,2,0,1,2022-6-8,5
90,11,2,0,1,2022-6-6,3
91,12,2,0,1,2022-6-8,2
92,12,2,0,2,2022-6-20,2
93,12,2,0,3,2022-9-8,3
94,13,2,0,1,2022-6-8,2
95,13,2,0,2,2022-6-27,4
96,14,2,0,1,2022-6-10,4
97,15,2,0,1,2022-6-9,5
98,16,2,0,1,2022-6-2,2
99,16,2,0,2,2022-6-27,3
100,17,2,0,1,2022-6-14,2
101,17,2,0,2,2022-6-15,4
102,18,2,0,1,2022-6-7,2
103,18,2,0,2,2022-6-27,3
104,19,2,0,1,2022-6-13,5
105,20,2,0,1,2022-6-7,2
106,20,2,0,2,2022-6-24,2
107,20,2,0,3,2022-9-14,2
108,21,2,0,1,2022-6-7,4
109,22,2,0,1,2022-6-8,5
110,23,2,0,1,2022-6-14,2
111,23,2,0,2,2022-6-23,3
112,24,2,0,1,2022-6-10,5
113,25,2,0,1,2022-6-14,2
114,25,2,0,2,2022-6-24,2
115,25,2,0,3,2022-9-5,5
116,26,2,0,1,2022-6-9,3
117,27,2,0,1,2022-6-1,5
118,28,2,0,1,2022-6-10,3
119,29,2,0,1,2022-6-8,5
120,0,3,0,1,2022-6-2,2
121,0,3,0,2,2022-6-22,2
122,0,3,0,3,2022-9-8,2
123,1,3,0,1,2022-6-14,4
124,2,3,0,1,2022-6-14,5
125,3,3,0,1,2022-6-13,4
126,4,3,0,1,2022-6-13,3
127,5,3,0,1,2022-6-9,2
128,5,3,0,2,2022-6-20,3
129,6,3,0,1,2022-6-6,2
130,6,3,0,2,2022-6-22,4
131,7,3,0,1,2022-6-13,3
132,8,3,0,1,2022-6-14,5
133,9,3,0,1,2022-6-8,3
134,10,3,0,1,2022-6-8,3
135,11,3,0,1,2022-6-6,3
136,12,3,0,1,2022-6-8,5
137,13,3,0,1,2022-6-8,3
138,14,3,0,1,2022-6-10,4
139,15,3,0,1,2022-6-9,3
140,16,3,0,1,2022-6-2,2
141,16,3,0,2,2022-6-27,4
142,17,3,0,1,2022-6-14,3
143,18,3,0,1,2022-6-7,3
144,19,3,0,1,2022-6-13,3
145,20,3,0,1,2022-6-7,3
146,21,3,0,1,2022-6-7,5
147,22,3,0,1,2022-6-8,5
148,23,3,0,1,2022-6-14,2
149,23,3,0,2,2022-6-23,3
150,24,3,0,1,2022-6-10,5
151,25,3,0,1,2022-6-14,4
152,26,3,0,1,2022-6-9,3
153,27,3,0,1,2022-6-1,3
154,28,3,0,1,2022-6-10,2
155,28,3,0,2,2022-6-22,5
156,29,3,0,1,2022-6-8,5
157,0,4,0,1,2022-6-2,3
158,1,4,0,1,2022-6-14,3
159,2,4,0,1,2022-6-14,2
160,2,4,0,2,2022-6-21,3
161,3,4,0,1,2022-6-13,2
162,3,4,0,2,2022-6-21,3
163,4,4,0,1,2022-6-13,5
164,5,4,0,1,2022-6-9,2
165,5,4,0,2,2022-6-20,2
166,5,4,0,3,2022-9-7,5
167,6,4,0,1,2022-6-6,2
168,6,4,0,2,2022-6-22,5
169,7,4,0,1,2022-6-13,3
170,8,4,0,1,2022-6-14,5
171,9,4,0,1,2022-6-8,4
172,10,4,0,1,2022-6-8,5
173,11,4,0,1,2022-6-6,4
174,12,4,0,1,2022-6-8,4
175,13,4,0,1,2022-6-8,4
176,14,4,0,1,2022-6-10,4
177,15,4,0,1,2022-6-9,3
178,16,4,0,1,2022-6-2,5
179,17,4,0,1,2022-6-14,4
180,18,4,0,1,2022-6-7,4
181,19,4,0,1,2022-6-13,4
182,20,4,0,1,2022-6-7,5
183,21,4,0,1,2022-6-7,3
184,22,4,0,1,2022-6-8,4
185,23,4,0,1,2022-6-14,4
186,24,4,0,1,2022-6-10,5
187,25,4,0,1,2022-6-14,4
188,26,4,0,1,2022-6-9,5
189,27,4,0,1,2022-6-1,3
190,28,4,0,1,2022-6-10,2
191,28,4,0,2,2022-6-22,3
192,29,4,0,1,2022-6-8,5
193,0,5,0,1,2022-6-2,4
194,1,5,0,1,2022-6-14,5
195,2,5,0,1,2022-6-14,2
196,2,5,0,2,2022-6-21,5
197,3,5,0,1,2022-6-13,3
198,4,5,0,1,2022-6-13,4
199,5,5,0,1,2022-6-9,2
200,5,5,0,2,2022-6-20,5
201,6,5,0,1,2022-6-6,4
202,7,5,0,1,2022-6-13,4
203,8,5,0,1,2022-6-14,2
204,8,5,0,2,2022-6-22,5
205,9,5,0,1,2022-6-8,2
206,9,5,0,2,2022-6-23,3
207,10,5,0,1,2022-6-8,4
208,11,5,0,1,2022-6-6,5
